timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-01-19 00:00:00,8915.09,8979.59,8888.02,8972.78,2285.07957,1579395599999.0,20422289.47136093,23648.0,1069.323524,9556940.84847203,0.0
2020-01-19 01:00:00,8974.49,9174.78,8972.98,9146.02,8105.923197,1579399199999.0,73767021.9386527,62983.0,4618.375164,42009766.3000591,0.0
2020-01-19 02:00:00,9146.91,9180.22,9123.63,9156.54,2794.16311,1579402799999.0,25589097.73476609,24713.0,1552.16046,14215485.98268757,0.0
2020-01-19 03:00:00,9156.61,9198.98,9143.01,9157.61,2005.257111,1579406399999.0,18387100.60185104,18550.0,1039.763765,9534560.3629973,0.0
2020-01-19 04:00:00,9157.74,9165.0,9122.77,9149.0,1422.380004,1579409999999.0,13008098.56760326,15883.0,680.748486,6227152.28486527,0.0
2020-01-19 05:00:00,9148.99,9156.79,9112.0,9131.14,1421.984272,1579413599999.0,12987714.40782314,17680.0,642.26774,5866999.22278791,0.0
2020-01-19 06:00:00,9129.98,9147.56,9050.0,9073.12,2264.534614,1579417199999.0,20607834.69441123,20951.0,1051.524531,9572801.69910521,0.0
2020-01-19 07:00:00,9074.72,9091.59,9041.0,9084.36,2029.55454,1579420799999.0,18408753.06091217,17543.0,905.616021,8214800.54519526,0.0
2020-01-19 08:00:00,9083.8,9115.24,9070.54,9103.17,1470.291558,1579424399999.0,13371473.6632397,14107.0,723.942411,6584838.26387574,0.0
2020-01-19 09:00:00,9103.16,9127.36,9052.0,9061.03,1429.937995,1579427999999.0,13002301.72837782,16394.0,621.54874,5652321.16669428,0.0
2020-01-19 10:00:00,9060.02,9079.44,9031.52,9038.69,1476.860239,1579431599999.0,13378593.37683929,15161.0,686.371439,6218686.15625162,0.0
2020-01-19 11:00:00,9038.69,9038.91,8524.2,8681.44,15949.582503,1579435199999.0,138882782.38608047,105899.0,5969.616608,51808334.26015169,0.0
2020-01-19 12:00:00,8681.16,8684.76,8562.0,8628.02,4429.203641,1579438799999.0,38194046.80355856,36323.0,2228.084903,19212906.95722017,0.0
2020-01-19 13:00:00,8628.0,8642.0,8559.02,8629.0,2550.259669,1579442399999.0,21950201.33473188,23339.0,1262.99254,10871788.97315018,0.0
2020-01-19 14:00:00,8630.0,8657.61,8610.0,8617.1,1966.366754,1579445999999.0,16981852.63729574,17724.0,1128.296728,9745606.1940522,0.0
2020-01-19 15:00:00,8617.1,8648.0,8593.18,8631.95,1685.747354,1579449599999.0,14547459.98936397,21904.0,835.380495,7209964.80934989,0.0
2020-01-19 16:00:00,8630.98,8676.05,8610.0,8644.84,1813.503406,1579453199999.0,15692107.50071734,20002.0,880.908456,7623462.95252234,0.0
2020-01-19 17:00:00,8644.91,8666.6,8618.88,8658.74,1223.767871,1579456799999.0,10586972.04220031,14697.0,631.33389,5462412.70403707,0.0
2020-01-19 18:00:00,8658.62,8661.68,8626.36,8650.82,944.08968,1579460399999.0,8158537.33725658,12292.0,471.499015,4074863.05210316,0.0
2020-01-19 19:00:00,8650.78,8656.03,8626.0,8645.57,791.788703,1579463999999.0,6843559.0667287,11084.0,380.823816,3291895.79883898,0.0
